n,method,depth,p_succ,energy,approx_ratio,feas_ratio,feas_approx_ratio,p_opt,p_999,p_99,p_9,rnd_approx_ratio,min_val,rnd_val,max_val
5,direct,1,0.0,-332.267234536798,0.5768528377374965,0.6358183808263501,0.9072603987757979,0.0784554997183113,0.0784554997183113,0.0784554997183113,0.5360135985048917,0.44480007867152166,-576.0,-137.0,0.0
5,linear,1,0.0,-335.6405573837179,0.5827093010133992,0.6302035211541369,0.9246366950572442,0.07959217143551753,0.07959217143551753,0.07959217143551753,0.5419195264102507,0.4524841853843233,-576.0,-137.0,0.0
5,direct,2,0.0,-338.8494552475984,0.5882803042493029,0.6364961909059161,0.9242479572611609,0.08002151055054758,0.08002151055054758,0.08002151055054758,0.5470628514377505,0.4597937477166251,-576.0,-137.0,0.0
5,linear,2,0.0,-363.1774825316649,0.630516462728585,0.6793099620940762,0.9281719655412121,0.08797136961931261,0.08797136961931261,0.08797136961931261,0.5877056405645612,0.5152106663591456,-576.0,-137.0,0.0
5,direct,3,0.0,-390.4575825387011,0.6778777474630227,0.7279172431305335,0.9312566144850376,0.0988450073028831,0.0988450073028831,0.0988450073028831,0.6350095740304978,0.5773521242339433,-576.0,-137.0,0.0
5,linear,3,0.0,-438.9514761909927,0.7620685350538067,0.8084567856107102,0.9426212366788885,0.10942647934926333,0.10942647934926333,0.10942647934926333,0.7129191758511231,0.6878165744669538,-576.0,-137.0,0.0
5,direct,4,0.0,-456.1072912357547,0.7918529361731853,0.8369201174995651,0.946151155428041,0.12270297939377268,0.12270297939377268,0.12270297939377268,0.7474692437053048,0.7268958798080972,-576.0,-137.0,0.0
5,linear,4,0.0,-475.76554757118913,0.8259818534222033,0.8842907002598454,0.9340614496788124,0.12776115499449325,0.12776115499449325,0.12776115499449325,0.7808365904369946,0.7716755069958751,-576.0,-137.0,0.0
5,direct,5,0.0,-489.2291670854001,0.8493561928565975,0.8948989203375343,0.9491085233807645,0.1370868451170723,0.1370868451170723,0.1370868451170723,0.8061334298401505,0.8023443441580868,-576.0,-137.0,0.0
5,linear,5,0.0,-507.96675274072004,0.8818867235081945,0.9308613486337027,0.9473878411673317,0.13555446905162127,0.13555446905162127,0.13555446905162127,0.8309658278423104,0.8450267716189522,-576.0,-137.0,0.0
5,direct,6,0.0,-503.1870511962312,0.8735886305490124,0.9185705538487139,0.9510305189827477,0.14894414413369655,0.14894414413369655,0.14894414413369655,0.8344218036876079,0.8341390687841258,-576.0,-137.0,0.0
5,linear,6,0.0,-526.2180804099968,0.9135730562673557,0.9608154586740021,0.9508309301436049,0.1529887556301091,0.1529887556301091,0.1529887556301091,0.8697621781555629,0.8866015499088765,-576.0,-137.0,0.0
5,direct,7,0.0,-518.6411178776904,0.9004186074265458,0.945527969298855,0.952291879947497,0.16285274789909704,0.16285274789909704,0.16285274789909704,0.865811324944161,0.8693419541633037,-576.0,-137.0,0.0
5,linear,7,0.0,-536.1436792878851,0.9308049987636894,0.9786605097172635,0.9511010095141168,0.15903103341377828,0.15903103341377828,0.15903103341377828,0.8875207946063729,0.9092111145509911,-576.0,-137.0,0.0
5,direct,8,0.0,-535.9891446669952,0.9305367094913112,0.9743473926713799,0.9550358696399315,0.17660185163982223,0.17660185163982223,0.17660185163982223,0.8999667700020282,0.9088590994692374,-576.0,-137.0,0.0
5,linear,8,0.0,-542.490270996327,0.9418233871464011,0.9886262864138619,0.9526586538203092,0.16954301118445264,0.16954301118445264,0.16954301118445264,0.9032941648096274,0.9236680432718155,-576.0,-137.0,0.0
5,direct,9,0.0,-541.4962611321789,0.9400976755766994,0.9827591289672665,0.9565901225100826,0.18583780809328532,0.18583780809328532,0.18583780809328532,0.9133257048863639,0.9214037839001797,-576.0,-137.0,0.0
5,linear,9,0.0,-546.9300597047156,0.94953135365402,0.9933839688245969,0.9558553222653022,0.18602761615819358,0.18602761615819358,0.18602761615819358,0.9213174025224398,0.9337814571861404,-576.0,-137.0,0.0
5,direct,10,0.0,-545.6572396238508,0.9473215965691857,0.9890598355235541,0.957800087057145,0.19474126342535125,0.19474126342535125,0.19474126342535125,0.9239616213392341,0.9308820948151499,-576.0,-137.0,0.0
5,linear,10,0.0,-549.2157697295047,0.9534996002248345,0.9970940252065014,0.9562785215038889,0.19087568370061997,0.19087568370061997,0.19087568370061997,0.925611456019195,0.938988085944202,-576.0,-137.0,0.0
5,direct,11,0.0,-549.2702627633206,0.9535942061863205,0.9946853516601164,0.9586893026973652,0.2031336421401885,0.2031336421401885,0.2031336421401885,0.9331792475256668,0.9391122158617782,-576.0,-137.0,0.0
5,linear,11,0.0,-550.8267166087401,0.9562963830012848,0.9972926742492658,0.9588924171343765,0.20339604382115412,0.20339604382115412,0.20339604382115412,0.937075298904372,0.9426576688126197,-576.0,-137.0,0.0
5,direct,12,0.0,-551.6709442684202,0.9577620560215627,0.9979736047595884,0.95970680131594,0.21001368100583284,0.21001368100583284,0.21001368100583284,0.9397348988089147,0.9445807386524377,-576.0,-137.0,0.0
5,linear,12,0.0,-551.7409494598106,0.9578835928121712,0.9984426611026469,0.9593776689733152,0.20910369971283357,0.20910369971283357,0.20910369971283357,0.9389500999540519,0.9447402037808899,-576.0,-137.0,0.0
5,direct,13,0.0,-552.5547921571712,0.9592965141617555,0.9987149680850311,0.9605308269296716,0.21637698628461793,0.21637698628461793,0.21637698628461793,0.9435146141225567,0.9465940595835334,-576.0,-137.0,0.0
5,linear,13,0.0,-552.6229259465256,0.9594148019904958,0.9990086604115208,0.9603668516700193,0.2157546816354983,0.2157546816354983,0.2157546816354983,0.9432385071492916,0.9467492618371881,-576.0,-137.0,0.0
5,direct,14,0.0,-553.0626979499413,0.960178295051981,0.9988082327529051,0.9613239694726459,0.22246752771816677,0.22246752771816677,0.22246752771816677,0.9465334490040938,0.9477510203871099,-576.0,-137.0,0.0
5,linear,14,0.0,-553.7007347403018,0.961285997813024,0.9990059360879278,0.9622425283851529,0.2226887965624905,0.2226887965624905,0.2226887965624905,0.9504599661198443,0.949204407153307,-576.0,-137.0,0.0
5,direct,15,0.0,-553.9032106396847,0.9616375184716749,0.9994579166284802,0.9621590889145322,0.22850007972980257,0.22850007972980257,0.22850007972980257,0.9500838505621871,0.9496656278808309,-576.0,-137.0,0.0
5,linear,15,0.0,-554.1388245445031,0.9620465703897623,0.9993171235738042,0.9627039782419086,0.23046273731318928,0.23046273731318928,0.23046273731318928,0.9520004009571724,0.9502023338143579,-576.0,-137.0,0.0
6,direct,1,0.042022881262324514,-225.00539983832473,0.39199547010161095,0.43612050225365384,0.8988237610384592,0.042022881262324514,0.042022881262324514,0.08415779004387595,0.3316395117267127,0.2854419857205446,-574.0,-85.59375,0.0
