,size,pid,penalty,pen,energy,approx_ratio,feas_ratio,feas_approx_ratio,p_opt,p_999,p_99,p_9,rnd_approx_ratio,min_val,rnd_val,max_val
0,6,0,auto,0.11363636363401577,-59.54921389658577,0.7008034348985344,0.7934504452598973,0.8832352909815104,0.4041743740726187,0.4041743740726187,0.4041743740726187,0.5740924405425186,0.6744252827066738,-85.0,-6.828125,0.0
1,6,0,max,55.0,-50.00334091420761,0.5883233958776807,0.8992071873177713,0.6542690096067624,0.20728000624933762,0.20728000624933762,0.20728000624933762,0.29098219323799324,0.552311376875732,-85.0,-6.828125,0.0
2,6,1,auto,0.03719008264385971,-152.98742410464206,0.9999139723341726,0.9999795314227479,0.9999344395694959,0.9995774479300216,0.9995774479300216,0.9995774479300216,0.9995774479300216,0.9998663027736033,-153.0,-58.9375,0.0
3,6,1,max,42.0,-133.4459848419337,0.8720673888760851,0.979686767209224,0.890149196727738,0.42286069472189475,0.42286069472189475,0.42286069472189475,0.42286069472189475,0.792116782372717,-153.0,-58.9375,0.0
4,6,2,auto,1.249999996875,-60.328815350147615,0.6415817144067297,0.8919699669825566,0.7192862295320718,0.03762618054995557,0.03762618054995557,0.03762618054995557,0.24629409100452032,0.4770793939358038,-94.0,-29.609375,0.0
5,6,2,max,33.0,-44.626674009557135,0.47480886726456706,0.8701095292372756,0.5456886188578777,0.016204143646152122,0.016204143646152122,0.016204143646152122,0.08539323250978031,0.233221823977592,-94.0,-29.609375,0.0
6,6,3,auto,0.19999999992,-37.28910747873739,0.6787892354901147,0.8549361533880852,0.79396482743196,0.15991130392171743,0.15991130392171743,0.15991130392171743,0.15991130392171743,0.5779980933131769,-55.0,-13.03125,0.0
7,6,3,max,26.0,-21.638943982409003,0.39298007114556155,0.8653522141608373,0.45412730760346903,0.018418518707663274,0.018418518707663274,0.018418518707663274,0.018418518707663274,0.2050976972725898,-55.0,-13.03125,0.0
8,6,4,auto,0.2222222219753086,-84.83277281454329,0.7189309584747042,0.8700332614165049,0.8263258318471751,0.2571271192108743,0.2571271192108743,0.2571271192108743,0.37450684193624556,0.599641165622552,-118.0,-35.15625,0.0
9,6,4,max,33.0,-82.48252824567167,0.6992597733077626,0.893350719528889,0.7827382438070002,0.20861591639762952,0.20861591639762952,0.20861591639762952,0.3117730470098066,0.571271559359296,-118.0,-35.15625,0.0
10,6,5,auto,0.030991735536549755,-124.96323639869264,0.9996907274884457,0.9997808518636345,0.999909855869893,0.9992120212238119,0.9992120212238119,0.9992120212238119,0.9996324161741021,0.9996147887223853,-125.0,-29.5625,0.0
11,6,5,max,45.0,-43.93784195553906,0.3516198511317058,0.8636317619450982,0.4071409443531543,0.016184761411504447,0.016184761411504447,0.016184761411504447,0.036736203953955944,0.1506257179362311,-125.0,-29.5625,0.0
12,6,6,auto,0.09999999999,-61.90393742042086,0.8972940753241823,0.9753431395744483,0.9199778405328,0.39840242703429063,0.39840242703429063,0.39840242703429063,0.6969267114735974,0.8518760583519032,-69.0,-21.09375,0.0
